agent_name,total_utilization,map_utilizations
Omen,80.0,"{'Ascent': 100.0, 'Bind': 19.0, 'Sunset': 100.0, 'Haven': 100.0, 'Lotus': 100.0, 'Corrode': 92.0, 'Icebox': 42.0}"
Sova,54.0,"{'Ascent': 89.0, 'Bind': 0.0, 'Sunset': 72.0, 'Haven': 97.0, 'Lotus': 16.0, 'Corrode': 13.0, 'Icebox': 88.0}"
Viper,46.0,"{'Ascent': 0.0, 'Bind': 92.0, 'Sunset': 22.0, 'Haven': 25.0, 'Lotus': 47.0, 'Corrode': 54.0, 'Icebox': 100.0}"
Cypher,40.0,"{'Ascent': 56.0, 'Bind': 0.0, 'Sunset': 72.0, 'Haven': 75.0, 'Lotus': 34.0, 'Corrode': 29.0, 'Icebox': 0.0}"
Fade,39.0,"{'Ascent': 11.0, 'Bind': 61.0, 'Sunset': 28.0, 'Haven': 3.0, 'Lotus': 78.0, 'Corrode': 96.0, 'Icebox': 0.0}"
Yoru,32.0,"{'Ascent': 36.0, 'Bind': 22.0, 'Sunset': 28.0, 'Haven': 47.0, 'Lotus': 38.0, 'Corrode': 46.0, 'Icebox': 8.0}"
Raze,30.0,"{'Ascent': 0.0, 'Bind': 72.0, 'Sunset': 28.0, 'Haven': 0.0, 'Lotus': 84.0, 'Corrode': 13.0, 'Icebox': 0.0}"
Jett,24.0,"{'Ascent': 78.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 6.0, 'Lotus': 0.0, 'Corrode': 8.0, 'Icebox': 83.0}"
Kayo,24.0,"{'Ascent': 64.0, 'Bind': 19.0, 'Sunset': 19.0, 'Haven': 0.0, 'Lotus': 6.0, 'Corrode': 29.0, 'Icebox': 25.0}"
Neon,23.0,"{'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 61.0, 'Haven': 50.0, 'Lotus': 16.0, 'Corrode': 29.0, 'Icebox': 0.0}"
Killjoy,17.0,"{'Ascent': 11.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 22.0, 'Lotus': 9.0, 'Corrode': 0.0, 'Icebox': 100.0}"
Gekko,14.0,"{'Ascent': 0.0, 'Bind': 58.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 29.0, 'Icebox': 13.0}"
Vyse,13.0,"{'Ascent': 22.0, 'Bind': 11.0, 'Sunset': 6.0, 'Haven': 3.0, 'Lotus': 31.0, 'Corrode': 17.0, 'Icebox': 0.0}"
Breach,12.0,"{'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 31.0, 'Haven': 31.0, 'Lotus': 16.0, 'Corrode': 0.0, 'Icebox': 0.0}"
Deadlock,10.0,"{'Ascent': 0.0, 'Bind': 19.0, 'Sunset': 22.0, 'Haven': 0.0, 'Lotus': 16.0, 'Corrode': 13.0, 'Icebox': 0.0}"
Astra,8.0,"{'Ascent': 0.0, 'Bind': 42.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 13.0, 'Icebox': 0.0}"
Brimstone,7.0,"{'Ascent': 0.0, 'Bind': 39.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 4.0, 'Icebox': 0.0}"
Iso,6.0,"{'Ascent': 0.0, 'Bind': 6.0, 'Sunset': 0.0, 'Haven': 34.0, 'Lotus': 0.0, 'Corrode': 0.0, 'Icebox': 0.0}"
Chamber,5.0,"{'Ascent': 19.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 9.0, 'Corrode': 4.0, 'Icebox': 0.0}"
Sage,4.0,"{'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 0.0, 'Icebox': 38.0}"
Tejo,4.0,"{'Ascent': 11.0, 'Bind': 14.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 0.0, 'Icebox': 0.0}"
Phoenix,3.0,"{'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 11.0, 'Haven': 6.0, 'Lotus': 0.0, 'Corrode': 4.0, 'Icebox': 0.0}"
Skye,3.0,"{'Ascent': 0.0, 'Bind': 19.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 0.0, 'Icebox': 0.0}"
Waylay,2.0,"{'Ascent': 3.0, 'Bind': 6.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 8.0, 'Icebox': 0.0}"
Harbor,0.0,"{'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 0.0, 'Icebox': 4.0}"
Clove,0.0,"{'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 0.0, 'Icebox': 0.0}"
Reyna,0.0,"{'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Lotus': 0.0, 'Corrode': 0.0, 'Icebox': 0.0}"
