agent_name,total_utilization,map_utilizations
Omen,78.0,"{'Lotus': 93.0, 'Haven': 100.0, 'Corrode': 97.0, 'Sunset': 100.0, 'Ascent': 100.0, 'Bind': 0.0, 'Icebox': 22.0}"
Viper,59.0,"{'Lotus': 88.0, 'Haven': 44.0, 'Corrode': 90.0, 'Sunset': 10.0, 'Ascent': 0.0, 'Bind': 89.0, 'Icebox': 100.0}"
Sova,51.0,"{'Lotus': 0.0, 'Haven': 75.0, 'Corrode': 37.0, 'Sunset': 77.0, 'Ascent': 100.0, 'Bind': 0.0, 'Icebox': 100.0}"
Fade,42.0,"{'Lotus': 100.0, 'Haven': 8.0, 'Corrode': 60.0, 'Sunset': 23.0, 'Ascent': 0.0, 'Bind': 71.0, 'Icebox': 0.0}"
Yoru,34.0,"{'Lotus': 23.0, 'Haven': 53.0, 'Corrode': 13.0, 'Sunset': 23.0, 'Ascent': 57.0, 'Bind': 57.0, 'Icebox': 0.0}"
Neon,34.0,"{'Lotus': 18.0, 'Haven': 53.0, 'Corrode': 60.0, 'Sunset': 90.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 0.0}"
Vyse,30.0,"{'Lotus': 68.0, 'Haven': 11.0, 'Corrode': 43.0, 'Sunset': 10.0, 'Ascent': 46.0, 'Bind': 11.0, 'Icebox': 0.0}"
Raze,29.0,"{'Lotus': 75.0, 'Haven': 0.0, 'Corrode': 10.0, 'Sunset': 7.0, 'Ascent': 0.0, 'Bind': 82.0, 'Icebox': 11.0}"
Cypher,27.0,"{'Lotus': 3.0, 'Haven': 56.0, 'Corrode': 0.0, 'Sunset': 73.0, 'Ascent': 46.0, 'Bind': 0.0, 'Icebox': 0.0}"
Jett,18.0,"{'Lotus': 0.0, 'Haven': 19.0, 'Corrode': 0.0, 'Sunset': 3.0, 'Ascent': 54.0, 'Bind': 0.0, 'Icebox': 83.0}"
Killjoy,16.0,"{'Lotus': 5.0, 'Haven': 33.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 7.0, 'Bind': 0.0, 'Icebox': 100.0}"
Brimstone,13.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 100.0, 'Icebox': 0.0}"
Kayo,11.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 13.0, 'Sunset': 13.0, 'Ascent': 43.0, 'Bind': 14.0, 'Icebox': 0.0}"
Chamber,10.0,"{'Lotus': 3.0, 'Haven': 0.0, 'Corrode': 27.0, 'Sunset': 10.0, 'Ascent': 36.0, 'Bind': 0.0, 'Icebox': 0.0}"
Breach,10.0,"{'Lotus': 8.0, 'Haven': 11.0, 'Corrode': 0.0, 'Sunset': 43.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 0.0}"
Skye,8.0,"{'Lotus': 0.0, 'Haven': 17.0, 'Corrode': 10.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 29.0, 'Icebox': 0.0}"
Sage,7.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 17.0, 'Sunset': 13.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 28.0}"
Iso,4.0,"{'Lotus': 0.0, 'Haven': 19.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 11.0}"
Deadlock,4.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 0.0, 'Sunset': 3.0, 'Ascent': 11.0, 'Bind': 14.0, 'Icebox': 0.0}"
Tejo,4.0,"{'Lotus': 13.0, 'Haven': 0.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 11.0, 'Icebox': 0.0}"
Harbor,3.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 39.0}"
Waylay,3.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 20.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 6.0}"
Gekko,3.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 21.0, 'Icebox': 0.0}"
Clove,1.0,"{'Lotus': 8.0, 'Haven': 0.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 0.0}"
Astra,0.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 3.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 0.0}"
Phoenix,0.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 0.0}"
Reyna,0.0,"{'Lotus': 0.0, 'Haven': 0.0, 'Corrode': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Icebox': 0.0}"
